run,type,module,name,attrname,attrvalue,value
Secure50_bloom-0-20250914-01:27:43-67754,config,,,rng-class,cMersenneTwister,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,num-rngs,1,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,seed-set,123,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-scalar-file,results/Secure50_bloom-0.sca,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-vector-file,results/Secure50_bloom-0.vec,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.result-recording-modes,all,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.sensor[*].sendInterval,0.5s,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.sensor[*].mode,"""Secure""",
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.procDelay,1ms,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.hmacWindow,1s,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.costForward_mJ,5,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.costVerify_mJ,5,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.batteryInit_mJ,5000,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.securityEnabled,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.checkHmac,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.checkFreshness,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.checkDuplicate,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.duplicateMethod,"""set""",
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.bloomBits,16384,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.bloomHashes,3,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.sbfBits,16384,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.sbfHashes,3,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.sbfDecay,0.02,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.enabled,false,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.attackMode,1,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.replayInterval,2.5s,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.validMac,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.replayId,100000,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.replayTsUs,500000,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.dupBurstLen,4,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.dupBurstGap,200ms,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.outOfOrderJitter,80ms,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,configname,Secure50_bloom,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,datetime,20250914-01:27:43,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,datetimef,20250914-012743,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,experiment,Secure50_bloom,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,inifile,run_record.ini,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,iterationvars,,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,iterationvarsd,,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,iterationvarsf,,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,measurement,,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,processid,67752,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,repetition,0,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,replication,#0,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,resultdir,results,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,runnumber,0,
Secure50_bloom-0-20250914-01:27:43-67752,runattr,,,seedset,123,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,**.gateway.batteryInit_mJ,10000,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,**.gateway.stageOrder,"""HBF""",
Secure50_bloom-0-20250914-01:27:43-67752,config,,,**.result-recording-modes,all,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,output-scalar-file,results/perms_secure50/HBF.sca,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,output-vector-file,results/perms_secure50/HBF.vec,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,record-eventlog,false,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,extends,Secure50_record,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,**.gateway.duplicateMethod,"""bloom""",
Secure50_bloom-0-20250914-01:27:43-67752,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,LightIoTNetwork.numSensorNodes,50,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,**.fakeNode.enabled,false,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,**.sensor[*].mode,"""Secure""",
Secure50_bloom-0-20250914-01:27:43-67752,config,,,**.gateway.securityEnabled,true,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,description,Secure Mode Simulation (includes all scenarios),
Secure50_bloom-0-20250914-01:27:43-67752,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,ned-path,.,
Secure50_bloom-0-20250914-01:27:43-67752,config,,,sim-time-limit,10s,
